Symbol,Equal Weight (%),Market Cap Wt (%),Min Variance Wt (%),Max Sharpe Wt (%),Ann Return (%),Ann Vol (%),Sharpe
FFC,5.88,9.71,20.0,20.0,31.6,24.35,0.8665
MEBL,5.88,6.04,11.84,20.0,31.76,28.2,0.754
EFERT,5.88,5.89,16.78,20.0,27.37,25.32,0.6663
BAHL,5.88,5.19,7.45,15.31,22.82,30.51,0.4039
ATRL,5.88,1.04,0.0,11.32,30.28,44.46,0.4449
HUBC,5.88,8.22,7.11,9.81,22.11,32.44,0.3578
UBL,5.88,8.1,0.0,3.57,23.73,43.7,0.3028
DGKC,5.88,1.61,0.0,0.0,17.81,40.43,0.1809
HBL,5.88,6.98,1.95,0.0,16.83,31.16,0.2033
MARI,5.88,5.49,0.7,0.0,-12.41,104.97,-0.2182
LUCK,5.88,7.11,0.22,0.0,-8.36,80.29,-0.2348
OGDC,5.88,6.58,0.0,0.0,20.11,35.14,0.2734
MCB,5.88,6.5,13.17,0.0,13.85,25.81,0.1299
POL,5.88,5.27,20.0,0.0,12.85,23.88,0.0985
PPL,5.88,5.71,0.0,0.0,16.28,37.48,0.1542
PSO,5.88,3.79,0.0,0.0,15.46,35.97,0.1379
SYS,5.88,6.76,0.77,0.0,-25.25,89.14,-0.401
